employee_id,department,designation,age,salary,joining_date,last_promotion_date,experience_years,performance_rating,is_active
EMP1000,IT,Senior Analyst,60,85000,invalid,01/04/2021,5,3,
emp_1,IT,Analyst,,55000,10/06/2020,invalid,5,3,True
EMP1002,Sales,,28,85000,,2022-03-01,3,4,
EMP1003,it ,Analyst,45,35000,invalid,01/04/2021,1,3,
,IT,mgr,150,85000,,invalid,12,2,True
,IT,mgr,,₹75000,2019-05-10,invalid,8,3,no
,HR ,,35,120000,10/06/2020,,12,poor,
EMP1007,sales,Analyst,22,,10/06/2020,,-2,1,True
EMP1008,Finance,ANALYST,150,35000,2021/07/15,,,excellent,True
EMP1009,it ,,22,120000,10/06/2020,01/04/2021,,4,
emp_10,Finance,Analyst,-5,35000,,,8,1,no
,sales,mgr,22,250000,2021/07/15,,,5,yes
emp_12,Sales,Analyst,60,₹75000,,,8,,
EMP1013,IT,Senior Analyst,35,120000,,2022-03-01,8,,
,it ,Analyst,150,₹75000,2019-05-10,01/04/2021,-2,2,yes
emp_15,,Senior Analyst,150,N/A,10/06/2020,,8,1,
,IT,,60,250000,,invalid,12,poor,no
emp_17,sales,Senior Analyst,-5,,,01/04/2021,3,4,False
emp_18,Finance,Senior Analyst,,,invalid,,ten,2,yes
,IT,mgr,22,120000,,2022-03-01,ten,4,yes
EMP1020,IT,mgr,22,85000,invalid,invalid,3,4,yes
,HR ,Senior Analyst,45,55000,invalid,2022-03-01,ten,4,yes
emp_22,HR ,Manager,60,,2021/07/15,2022-03-01,5,1,
emp_23,Finance,,-5,85000,invalid,,-2,5,
EMP1024,Finance,mgr,35,85000,2021/07/15,01/04/2021,8,3,True
,Sales,,28,250000,invalid,,8,,True
,Finance,Senior Analyst,28,₹75000,2019-05-10,2022-03-01,8,5,True
EMP1027,,ANALYST,35,₹75000,,invalid,5,1,False
,it ,,45,35000,,01/04/2021,3,3,yes
,Finance,mgr,28,55000,2019-05-10,2022-03-01,ten,4,yes
EMP1030,HR,Manager,,85000,2019-05-10,invalid,3,3,True
,HR ,Analyst,,55000,10/06/2020,2022-03-01,1,4,
emp_32,Finance,,22,,2021/07/15,2022-03-01,3,5,no
,it ,Senior Analyst,35,85000,10/06/2020,,1,1,yes
,sales,Analyst,45,250000,,2022-03-01,-2,5,False
EMP1035,IT,Senior Analyst,60,,invalid,invalid,12,,yes
,it ,mgr,45,N/A,,invalid,5,5,True
EMP1037,,,-5,N/A,2021/07/15,invalid,,3,True
emp_38,IT,Manager,,35000,2021/07/15,2022-03-01,1,poor,True
emp_39,it ,Senior Analyst,35,35000,,,3,3,yes
emp_40,,,60,85000,2021/07/15,01/04/2021,12,5,True
,,ANALYST,60,250000,2021/07/15,,3,4,yes
EMP1042,HR ,Manager,22,35000,,2022-03-01,ten,2,True
,it ,Manager,-5,120000,invalid,,1,excellent,
emp_44,sales,mgr,45,₹75000,2021/07/15,01/04/2021,8,2,True
,Finance,,,120000,,01/04/2021,1,1,yes
,HR ,ANALYST,unknown,55000,10/06/2020,invalid,12,,yes
,Finance,Analyst,unknown,250000,2021/07/15,01/04/2021,3,excellent,True
,HR,ANALYST,28,85000,10/06/2020,2022-03-01,5,5,no
,it ,mgr,-5,55000,2021/07/15,invalid,5,3,False
,IT,Senior Analyst,,35000,2019-05-10,,,2,yes
,IT,ANALYST,35,,invalid,invalid,-2,1,yes
emp_52,Sales,Senior Analyst,60,250000,10/06/2020,invalid,-2,,yes
EMP1053,HR,mgr,28,120000,10/06/2020,,3,3,True
,sales,mgr,unknown,₹75000,invalid,01/04/2021,8,1,yes
,Sales,Senior Analyst,,120000,,01/04/2021,8,3,
,HR,,-5,N/A,10/06/2020,invalid,8,,no
emp_57,Finance,ANALYST,35,250000,invalid,,8,,yes
EMP1058,Finance,mgr,35,85000,2021/07/15,2022-03-01,,excellent,True
emp_59,HR,Analyst,35,120000,2021/07/15,invalid,8,,yes
,Sales,Senior Analyst,45,₹75000,,2022-03-01,3,4,yes
,Finance,Senior Analyst,-5,120000,10/06/2020,01/04/2021,,3,
,HR ,mgr,,120000,2021/07/15,2022-03-01,3,5,True
EMP1063,IT,,28,N/A,invalid,2022-03-01,12,excellent,
,HR ,Manager,35,,,,5,5,no
,IT,Manager,unknown,N/A,10/06/2020,,-2,,no
,sales,Analyst,-5,35000,10/06/2020,invalid,ten,4,False
emp_67,Sales,mgr,45,,10/06/2020,invalid,1,4,yes
,,mgr,unknown,N/A,invalid,01/04/2021,-2,1,True
EMP1069,IT,,45,250000,invalid,invalid,ten,poor,
EMP1070,Sales,,35,N/A,,01/04/2021,5,2,False
emp_71,Sales,Manager,60,250000,2021/07/15,01/04/2021,12,excellent,False
emp_72,it ,Manager,unknown,35000,invalid,invalid,,3,
EMP1073,IT,Senior Analyst,-5,85000,invalid,01/04/2021,3,5,True
emp_74,Finance,ANALYST,60,35000,invalid,2022-03-01,3,poor,True
,Finance,mgr,unknown,35000,2019-05-10,invalid,-2,2,True
EMP1076,IT,mgr,22,120000,,invalid,3,4,
EMP1077,HR ,mgr,,₹75000,invalid,invalid,-2,poor,True
EMP1078,HR,Senior Analyst,35,,,invalid,12,4,False
emp_79,,Manager,,N/A,2019-05-10,01/04/2021,8,1,False
emp_80,,,35,,invalid,invalid,12,2,no
EMP1081,sales,Analyst,150,₹75000,10/06/2020,,5,5,yes
emp_82,sales,Senior Analyst,150,N/A,2021/07/15,01/04/2021,-2,1,yes
emp_83,Sales,ANALYST,,N/A,,invalid,12,3,no
,Finance,Analyst,45,,2021/07/15,invalid,3,3,no
,Sales,,60,55000,2021/07/15,01/04/2021,,2,yes
,Finance,Senior Analyst,22,N/A,2019-05-10,,3,excellent,yes
,sales,Analyst,45,N/A,invalid,invalid,5,4,yes
,HR ,Manager,60,35000,2019-05-10,01/04/2021,-2,excellent,
emp_89,,Senior Analyst,22,120000,10/06/2020,,1,1,no
,HR ,Analyst,28,N/A,invalid,2022-03-01,1,2,yes
emp_91,,Manager,35,55000,10/06/2020,01/04/2021,3,1,False
,HR ,Senior Analyst,45,35000,,01/04/2021,1,5,
,sales,,-5,120000,,2022-03-01,ten,,
,Finance,Senior Analyst,35,120000,2019-05-10,invalid,3,5,
EMP1095,Finance,Manager,22,N/A,,2022-03-01,1,3,False
emp_96,IT,Analyst,150,35000,invalid,2022-03-01,,poor,no
,it ,ANALYST,,,,2022-03-01,1,excellent,
EMP1098,HR ,Manager,60,₹75000,2021/07/15,,ten,3,yes
EMP1099,IT,Manager,45,N/A,,,3,1,
,Sales,Senior Analyst,150,120000,invalid,invalid,12,3,no
EMP1101,it ,Analyst,-5,,10/06/2020,invalid,12,excellent,False
,Sales,Manager,unknown,N/A,,01/04/2021,,excellent,True
,,mgr,22,N/A,2019-05-10,invalid,1,2,True
,sales,Senior Analyst,28,N/A,invalid,,12,5,
,it ,Senior Analyst,unknown,,invalid,,1,,no
,HR,Analyst,28,,10/06/2020,01/04/2021,3,3,False
emp_107,,,,,2019-05-10,invalid,3,4,
,Finance,Senior Analyst,150,35000,,,ten,2,no
emp_109,,mgr,150,120000,2021/07/15,2022-03-01,ten,poor,
EMP1110,Finance,Manager,-5,35000,2019-05-10,01/04/2021,3,1,yes
EMP1111,sales,Senior Analyst,-5,N/A,invalid,2022-03-01,8,4,False
,sales,Analyst,22,85000,10/06/2020,invalid,1,,yes
,Finance,Senior Analyst,,N/A,invalid,01/04/2021,12,3,
,IT,Analyst,150,35000,10/06/2020,,1,poor,no
emp_115,sales,ANALYST,28,250000,2021/07/15,invalid,-2,2,no
emp_116,IT,Senior Analyst,60,250000,invalid,invalid,12,excellent,no
emp_117,HR ,Senior Analyst,35,85000,,invalid,-2,excellent,
,Finance,Analyst,-5,35000,invalid,,5,4,
,IT,,35,120000,2019-05-10,,3,,False
,Finance,Senior Analyst,35,,,01/04/2021,8,3,yes
EMP1121,Finance,Analyst,35,35000,10/06/2020,01/04/2021,3,excellent,True
,,Manager,22,120000,10/06/2020,01/04/2021,3,3,no
emp_123,it ,,35,85000,2021/07/15,2022-03-01,1,2,no
,sales,Analyst,unknown,250000,2021/07/15,01/04/2021,1,5,no
emp_125,,ANALYST,60,250000,10/06/2020,,-2,poor,no
EMP1126,HR,mgr,28,N/A,,invalid,1,excellent,True
,Finance,,150,120000,invalid,2022-03-01,3,1,True
emp_128,Sales,mgr,60,N/A,2019-05-10,2022-03-01,3,2,
emp_129,IT,mgr,28,55000,invalid,2022-03-01,5,,yes
,Finance,,unknown,35000,,2022-03-01,ten,1,
,IT,ANALYST,60,250000,10/06/2020,invalid,3,,yes
EMP1132,IT,,,85000,10/06/2020,invalid,5,1,yes
,it ,,-5,250000,2021/07/15,2022-03-01,1,5,True
,sales,Analyst,28,,2019-05-10,2022-03-01,8,poor,False
EMP1135,Finance,Senior Analyst,28,35000,10/06/2020,,12,1,yes
EMP1136,,mgr,22,35000,,2022-03-01,ten,,yes
emp_137,Sales,Senior Analyst,,₹75000,10/06/2020,2022-03-01,ten,poor,yes
emp_138,Finance,mgr,45,250000,2021/07/15,01/04/2021,,3,False
emp_139,,mgr,150,₹75000,2021/07/15,invalid,ten,3,yes
EMP1140,IT,Analyst,unknown,250000,2021/07/15,invalid,12,excellent,yes
EMP1141,IT,mgr,60,85000,,01/04/2021,,3,False
,Finance,Senior Analyst,22,35000,invalid,2022-03-01,5,poor,True
,it ,Manager,60,120000,2019-05-10,2022-03-01,5,excellent,yes
emp_144,sales,mgr,35,55000,,2022-03-01,8,excellent,True
EMP1145,IT,Analyst,45,35000,2021/07/15,,-2,4,no
,sales,ANALYST,35,N/A,10/06/2020,invalid,-2,poor,
emp_147,sales,mgr,22,,2019-05-10,,1,4,yes
emp_148,HR,mgr,-5,120000,,invalid,3,,yes
EMP1149,it ,ANALYST,,35000,10/06/2020,01/04/2021,5,5,True
emp_150,HR ,Analyst,28,N/A,10/06/2020,invalid,ten,1,yes
emp_151,Sales,Manager,45,120000,invalid,2022-03-01,3,4,
EMP1152,Sales,,45,₹75000,2021/07/15,invalid,-2,3,True
,sales,ANALYST,150,N/A,2021/07/15,,,2,no
EMP1154,Finance,Analyst,35,₹75000,invalid,2022-03-01,,2,
,,Manager,35,120000,2021/07/15,,5,poor,yes
,it ,Manager,60,250000,2021/07/15,invalid,5,3,True
,Finance,ANALYST,22,250000,2019-05-10,2022-03-01,3,1,False
,,ANALYST,35,250000,2019-05-10,invalid,,poor,yes
EMP1159,Finance,Analyst,60,₹75000,10/06/2020,2022-03-01,3,5,no
,sales,ANALYST,60,55000,,,,,True
